medium,medium_category
organic,ORGANIC
cpc,PAID
ppc,PAID
paidsearch,PAID
display,DISPLAY
cpm,DISPLAY
banner,DISPLAY
social,ORGANIC
social-network,ORGANIC
social-media,ORGANIC
sm,ORGANIC
referral,REFERRAL
email,EMAIL
affiliate,AFFILIATES
video,VIDEO
audio,AUDIO
sms,SMS
(none),DIRECT
